id,name,delegator_id,time_register,time_update,status,has_room
1,individual,1,1119965762,1120112148,1,0
6,영서호,5,1119966819,1120053287,1,0
9,SCSpace | 학생문화공간위원회,8,1119966960,1120087763,3,1
12,일루젼 카이스트,24,1119968081,1120093535,3,1
13,KAIST Undergraduate Student Clubs Union,29,1119968100,1120093405,3,1
18,KE 7팀,5,1119968616,1119968616,1,0
21,CCC,97,1119972348,1120093535,3,1
22,이박터,97,1119972348,1120093536,3,1
25,MindFreak,114,1119985522,1120093536,3,1
29,Latin American Students,155,1119994102,1119994102,1,0
31,화학과,195,1119998447,1119998447,1,0
34,애드립,86,1119998810,1119998810,1,0
35,북북노인,204,1119999690,1119999690,1,0
38,IVF 브레멘 음악대,172,1120010232,1120010232,1,0
39,새내기학생회,240,1120014170,1120014170,1,0
40,마요네즈,245,1120014332,1120014332,1,0
41,KAIST CHORUS,251,1120015520,1120058955,3,1
48,동틀무렵,304,1120045062,1120060682,3,1
52,PIAST,314,1120046114,1120051900,3,1
54,행사준비위원회 상상효과,122,1120047362,1120050476,3,1
55,CarpeDiem,16,1120047437,1120093536,3,1
56,카이스트 방송국 VOK,291,1120047457,1120050476,3,1
57,Lunatic,316,1120049000,1120093536,3,1
59,일루젼 카이스트,166,1120049002,1120049016,1,0
61,PlanB,331,1120050271,1120051555,3,0
63,FingS,340,1120051713,1120103124,3,0
65,여섯줄,349,1120052177,1120093536,3,1
66,구토스,350,1120052190,1120093536,3,1
68,KAIST 협동조합,3,1120052239,1120086172,3,0
70,인성/리더쉽 III : Movement and Rhythm,360,1120056101,1120087760,1,0
71,인성/리더십 III : 전략 게임의 세계,366,1120057238,1120093651,3,0
72,Number,124,1120060441,1120110796,3,1
73,KAIST Orchestra,376,1120060463,1120076091,3,1
74,사나래,43,1120065857,1120075121,3,1
75,학생복지위원회,403,1120072146,1120072147,1,0
76,Praiser,17,1120074505,1120077611,3,1
77,WVC,407,1120074794,1120102178,-1,0
79,학생문화공간위원회 개발팀,10,1120075489,1120086604,3,1
80,강적,412,1120076174,1120093536,3,1
81,KBU,274,1120076565,1120083647,1,0
90,INFINITE,443,1120087758,1120089145,3,1
93,메추리 수프,466,1120091874,1120093462,3,0
94,TEDxKAIST,468,1120093074,1120096378,3,0
95,GDGoC KAIST,468,1120093076,1120096379,3,0
96,전산학부 집행위,418,1120093252,1120093409,3,1
99,KFAC,470,1120093520,1120093542,3,0
100,곰발바닥,465,1120094729,1120094736,1,0
101,Pokéstop KAIST,476,1120095301,1120095314,3,0
102,SSEquence,23,1120096366,1120096367,1,0
106,G-inK,486,1120099088,1120099096,1,0
107,MUSE,492,1120102177,1120102184,3,0
108,프리드럭스토어,496,1120105183,1120105191,1,0
109,SEED KAIST,472,1120107811,1120108101,3,1
110,개인 연습,65,1120111073,1120111079,-1,0
111,구토스,526,1120112088,1120112090,1,0
