id,name,status,has_room,delegator_id,time_register,time_update
1,individual,1,0,1,1119965762,1120115415
6,영서호,1,0,5,1119966819,1120053287
9,SCSpace | 학생문화공간위원회,3,1,8,1119966960,1120087763
12,일루젼 카이스트,3,1,24,1119968081,1120093535
13,KAIST Undergraduate Student Clubs Union,3,1,29,1119968100,1120093405
18,KE 7팀,1,0,5,1119968616,1119968616
21,CCC,3,1,97,1119972348,1120093535
22,이박터,3,1,97,1119972348,1120093536
25,MindFreak,3,1,396,1119985522,1120114857
29,Latin American Students,1,0,155,1119994102,1119994102
31,화학과,1,0,195,1119998447,1119998447
34,애드립,1,0,86,1119998810,1119998810
35,북북노인,1,0,204,1119999690,1119999690
38,IVF 브레멘 음악대,1,0,172,1120010232,1120010232
39,새내기학생회,1,0,240,1120014170,1120014170
40,마요네즈,1,0,245,1120014332,1120014332
41,KAIST CHORUS,3,1,251,1120015520,1120058955
48,동틀무렵,3,1,304,1120045062,1120060682
52,PIAST,3,1,314,1120046114,1120051900
54,행사준비위원회 상상효과,3,1,122,1120047362,1120050476
55,CarpeDiem,3,1,16,1120047437,1120093536
56,카이스트 방송국 VOK,3,1,291,1120047457,1120050476
57,Lunatic,3,1,316,1120049000,1120093536
59,일루젼 카이스트,1,0,166,1120049002,1120049016
61,PlanB,3,0,331,1120050271,1120051555
63,FingS,3,0,340,1120051713,1120103124
65,여섯줄,3,1,349,1120052177,1120093536
66,구토스,3,1,350,1120052190,1120093536
68,KAIST 협동조합,3,0,3,1120052239,1120086172
70,인성/리더쉽 III : Movement and Rhythm,1,0,360,1120056101,1120087760
71,인성/리더십 III : 전략 게임의 세계,1,0,366,1120057238,1120114715
72,Number,3,1,124,1120060441,1120110796
73,KAIST Orchestra,3,1,376,1120060463,1120076091
74,사나래,3,1,43,1120065857,1120075121
75,학생복지위원회,1,0,403,1120072146,1120072147
76,Praiser,3,1,17,1120074505,1120077611
77,WVC,-1,0,407,1120074794,1120102178
79,학생문화공간위원회 개발팀,3,1,10,1120075489,1120086604
80,강적,3,1,412,1120076174,1120093536
81,KBU,1,0,274,1120076565,1120083647
90,INFINITE,3,1,443,1120087758,1120089145
93,메추리 수프,3,0,466,1120091874,1120093462
94,TEDxKAIST,3,0,468,1120093074,1120096378
95,GDGoC KAIST,3,0,468,1120093076,1120096379
96,전산학부 집행위,3,1,418,1120093252,1120093409
99,KFAC,3,0,470,1120093520,1120093542
100,곰발바닥,1,0,465,1120094729,1120094736
101,Pokéstop KAIST,3,0,476,1120095301,1120095314
102,SSEquence,1,0,23,1120096366,1120096367
106,G-inK,1,0,486,1120099088,1120099096
107,MUSE,3,0,492,1120102177,1120102184
108,프리드럭스토어,1,0,496,1120105183,1120105191
109,SEED KAIST,3,1,472,1120107811,1120108101
110,개인 연습,-1,0,65,1120111073,1120111079
111,구토스,1,0,526,1120112088,1120112090
112,학생문화공간위원회 테스트 조직,3,0,7,1120114660,1120114716
113,Twenties Dream,3,0,530,1120114707,1120114714
114,은막,3,0,41,1120114829,1120114947
115,STURGEON,3,0,535,1120114946,1120115115
116,창작동화,3,0,19,1120115059,1120115120
