id,info_id,organization_id,space_id,priority,time,lottery_win
3,2,55,10,1,22,1
8,2,57,10,1,19,1
11,2,107,10,1,23,1
14,2,52,10,1,10,1
15,2,113,10,1,8,1
21,2,73,10,1,6,1
38,2,61,10,1,14,1
41,2,25,10,1,9,1
45,2,76,10,1,16,1
46,2,63,10,1,17,1
47,2,72,10,1,20,1
51,2,114,10,1,26,1
64,2,22,10,1,25,1
71,2,22,11,2,23,1
75,2,74,10,1,13,1
78,2,80,10,1,15,1
81,2,65,10,1,24,1
84,2,48,10,2,2,1
87,2,90,10,1,1,1
91,2,115,10,1,3,1
97,2,116,10,2,21,1
101,2,55,11,1,27,1
102,2,114,11,1,26,0
103,2,72,11,1,14,0
104,2,72,11,2,13,0
105,2,72,11,3,12,0
