id,description,inner_participant_number,outer_participant_number,food,desk,chair,busking,worker
395,none,10,0,,0,0,0,0
396,none,10,0,,0,0,0,0
397,none,10,0,,0,0,0,0
398,none,10,0,,0,0,0,0
399,none,10,0,,0,0,0,0
400,none,10,0,,0,0,0,0
401,none,10,0,,0,0,0,0
402,none,10,0,,0,0,0,0
403,none,10,0,,0,0,0,0
404,none,10,0,,0,0,0,0
405,none,10,0,,0,0,0,0
406,none,10,0,,0,0,0,0
407,none,10,0,,0,0,0,0
408,none,10,0,,0,0,0,0
409,none,10,0,,0,0,0,0
410,none,10,0,,0,0,0,0
411,none,10,0,,0,0,0,0
412,none,10,0,,0,0,0,0
413,none,10,0,,0,0,0,0
414,none,10,0,,0,0,0,0
415,none,10,0,,0,0,0,0
416,none,10,0,,0,0,0,0
417,none,10,0,,0,0,0,0
418,none,10,0,,0,0,0,0
419,none,10,0,,0,0,0,0
420,none,10,0,,0,0,0,0
421,none,10,0,,0,0,0,0
422,none,10,0,,0,0,0,0
423,none,10,0,,0,0,0,0
424,none,10,0,,0,0,0,0
425,none,10,0,,0,0,0,0
426,none,10,0,,0,0,0,0
427,none,10,0,,0,0,0,0
428,none,10,0,,0,0,0,0
429,none,10,0,,0,0,0,0
430,none,10,0,,0,0,0,0
431,none,10,0,,0,0,0,0
432,none,10,0,,0,0,0,0
433,none,10,0,,0,0,0,0
434,none,10,0,,0,0,0,0
435,none,10,0,,0,0,0,0
436,none,10,0,,0,0,0,0
437,none,10,0,,0,0,0,0
438,none,10,0,,0,0,0,0
439,none,10,0,,0,0,0,0
440,none,10,0,,0,0,0,0
441,none,10,0,,0,0,0,0
442,none,10,0,,0,0,0,0
443,none,10,0,,0,0,0,0
444,none,10,0,,0,0,0,0
445,none,10,0,,0,0,0,0
446,none,10,0,,0,0,0,0
447,none,10,0,,0,0,0,0
448,none,10,0,,0,0,0,0
449,none,10,0,,0,0,0,0
450,none,10,0,,0,0,0,0
451,none,10,0,,0,0,0,0
452,none,10,0,,0,0,0,0
453,none,10,0,,0,0,0,0
454,none,10,0,,0,0,0,0
455,none,10,0,,0,0,0,0
456,none,10,0,,0,0,0,0
457,none,10,0,,0,0,0,0
458,none,10,0,,0,0,0,0
459,none,10,0,,0,0,0,0
460,none,10,0,,0,0,0,0
461,none,10,0,,0,0,0,0
462,none,10,0,,0,0,0,0
463,none,10,0,,0,0,0,0
464,none,10,0,,0,0,0,0
465,none,10,0,,0,0,0,0
466,none,10,0,,0,0,0,0
467,none,10,0,,0,0,0,0
468,none,10,0,,0,0,0,0
469,none,10,0,,0,0,0,0
470,none,10,0,,0,0,0,0
471,none,10,0,,0,0,0,0
472,none,10,0,,0,0,0,0
473,none,10,0,,0,0,0,0
474,none,10,0,,0,0,0,0
475,none,10,0,,0,0,0,0
476,none,10,0,,0,0,0,0
477,none,10,0,,0,0,0,0
478,none,10,0,,0,0,0,0
479,none,10,0,,0,0,0,0
480,none,10,0,,0,0,0,0
481,none,10,0,,0,0,0,0
482,none,10,0,,0,0,0,0
484,none,10,0,,0,0,0,0
485,none,10,0,,0,0,0,0
486,none,10,0,,0,0,0,0
487,none,10,0,,0,0,0,0
488,none,10,0,,0,0,0,0
489,none,10,0,,0,0,0,0
490,none,10,0,,0,0,0,0
491,none,10,0,,0,0,0,0
492,none,10,0,,0,0,0,0
493,none,10,0,,0,0,0,0
494,none,10,0,,0,0,0,0
495,none,10,0,,0,0,0,0
496,none,10,0,,0,0,0,0
497,none,10,0,,0,0,0,0
498,none,10,0,,0,0,0,0
499,none,10,0,,0,0,0,0
500,none,10,0,,0,0,0,0
501,none,10,0,,0,0,0,0
502,none,10,0,,0,0,0,0
503,none,10,0,,0,0,0,0
504,none,10,0,,0,0,0,0
505,none,10,0,,0,0,0,0
506,none,10,0,,0,0,0,0
507,none,10,0,,0,0,0,0
508,none,10,0,,0,0,0,0
509,none,10,0,,0,0,0,0
510,none,10,0,,0,0,0,0
511,none,10,0,,0,0,0,0
512,none,10,0,,0,0,0,0
513,none,10,0,,0,0,0,0
514,none,10,0,,0,0,0,0
515,none,10,0,,0,0,0,0
516,none,10,0,,0,0,0,0
517,none,10,0,,0,0,0,0
518,none,10,0,,0,0,0,0
519,none,10,0,,0,0,0,0
520,none,10,0,,0,0,0,0
521,none,10,0,,0,0,0,0
522,none,10,0,,0,0,0,0
523,none,10,0,,0,0,0,0
524,none,10,0,,0,0,0,0
525,none,10,0,,0,0,0,0
526,none,10,0,,0,0,0,0
527,none,10,0,,0,0,0,0
528,none,10,0,,0,0,0,0
529,none,10,0,,0,0,0,0
530,none,10,0,,0,0,0,0
531,none,10,0,,0,0,0,0
532,none,10,0,,0,0,0,0
533,none,10,0,,0,0,0,0
534,none,10,0,,0,0,0,0
535,none,10,0,,0,0,0,0
536,none,10,0,,0,0,0,0
537,none,10,0,,0,0,0,0
538,none,10,0,,0,0,0,0
539,none,10,0,,0,0,0,0
546,none,10,0,,0,0,0,0
547,none,10,0,,0,0,0,0
548,none,10,0,,0,0,0,0
549,none,10,0,,0,0,0,0
550,none,10,0,,0,0,0,0
551,none,10,0,,0,0,0,0
552,none,10,0,,0,0,0,0
553,none,10,0,,0,0,0,0
554,none,10,0,,0,0,0,0
555,none,10,0,,0,0,0,0
556,none,10,0,,0,0,0,0
557,none,10,0,,0,0,0,0
558,none,10,0,,0,0,0,0
559,none,10,0,,0,0,0,0
560,합주 및 사진 촬영,5,0,,0,0,0,0
561,none,10,0,,0,0,0,0
562,none,10,0,,0,0,0,0
563,none,10,0,,0,0,0,0
564,none,10,0,,0,0,0,0
565,none,10,0,,0,0,0,0
566,none,10,0,,0,0,0,0
567,none,10,0,,0,0,0,0
568,none,10,0,,0,0,0,0
569,none,10,0,,0,0,0,0
570,none,10,0,,0,0,0,0
571,none,10,0,,0,0,0,0
572,none,10,0,,0,0,0,0
573,none,10,0,,0,0,0,0
574,none,10,0,,0,0,0,0
575,none,10,0,,0,0,0,0
576,none,10,0,,0,0,0,0
577,none,10,0,,0,0,0,0
578,none,10,0,,0,0,0,0
579,none,10,0,,0,0,0,0
580,none,10,0,,0,0,0,0
581,none,10,0,,0,0,0,0
582,none,10,0,,0,0,0,0
583,none,10,0,,0,0,0,0
584,none,10,0,,0,0,0,0
585,none,10,0,,0,0,0,0
586,none,10,0,,0,0,0,0
587,none,10,0,,0,0,0,0
588,none,10,0,,0,0,0,0
589,none,10,0,,0,0,0,0
590,none,10,0,,0,0,0,0
591,none,10,0,,0,0,0,0
592,none,10,0,,0,0,0,0
593,none,10,0,,0,0,0,0
594,none,10,0,,0,0,0,0
595,none,10,0,,0,0,0,0
596,none,10,0,,0,0,0,0
597,none,10,0,,0,0,0,0
598,none,10,0,,0,0,0,0
599,none,10,0,,0,0,0,0
600,none,10,0,,0,0,0,0
601,none,10,0,,0,0,0,0
602,none,10,0,,0,0,0,0
603,none,10,0,,0,0,0,0
604,none,10,0,,0,0,0,0
605,none,10,0,,0,0,0,0
606,none,10,0,,0,0,0,0
608,none,10,0,,0,0,0,0
609,none,10,0,,0,0,0,0
610,none,10,0,,0,0,0,0
611,none,10,0,,0,0,0,0
612,none,10,0,,0,0,0,0
613,none,10,0,,0,0,0,0
614,none,10,0,,0,0,0,0
615,테스트,11,0,없음,0,0,0,0
616,연습,10,0,,0,1,0,0
617,연습,10,0,,0,0,0,0
618,현궁 동아리 활동,10,0,,0,0,0,0
620,드럼,10,0,,0,0,0,0
621,세미나,2,1,,3,3,0,0
622,세미마,5,1,,5,5,0,0
624,드럼연습,1,0,,0,0,0,0
625,피아노 개인 연습,10,1,,0,0,0,0
626,Dance practice ,1,0,,0,0,0,0
627,Sing practice ,1,0,,0,0,0,0
628,개인연습실 예약 신청합니다.,1,0,,1,1,0,0
629,바이올린 연습,1,0,,0,0,0,0
630,드럼 연습,2,0,,0,0,0,0
631,세미나,10,0,,0,0,0,0
632,개인 연습실 예약 ,1,0,,0,0,0,0
633,ㄱㅌ,1,1,,0,0,0,0
634,개인연습,1,0,,0,0,0,0
635,한우진,1,0,,0,0,0,0
636,피아노 조율 및 수리,10,0,,0,0,0,0
637,Practice,10,0,,0,0,0,0
638,연습,1,0,,0,0,0,0
639,practice,10,0,,0,0,0,0
640,피아노 연습,2,0,,0,0,0,0
641,드럼 연습,1,0,No food,0,0,0,0
642,연습,10,0,,0,1,0,1
643,드럼 연습,1,0,No food,0,0,0,0
644,개인 연습,1,0,,0,0,0,0
645,practice,4,0,,0,0,0,0
646,개인 연습,2,0,,0,0,0,0
647,드럼연습,10,0,,0,0,0,0
648,드럼연습,10,0,,0,0,0,0
649,악기연습,1,0,,0,0,0,0
650,악기연습,2,0,,0,0,0,0
651,맨몸 코어운동,1,0,,0,0,0,0
652,맨몸 코어운동,1,0,,1,1,0,0
653,피아노 연습,1,0,,0,0,0,0
655,넘버 배우 오디션,25,0,,0,0,0,0
656,"미래홀 여름 공사 착공 전 치수 파악, 콘솔 장치 파악 등 위해 공간 예약합니다",25,0,,0,0,0,0
657,연습,1,0,,0,0,0,0
659,카이스트 대학원생 여섯 명과 교외 대학원생 두세 명이 모여 세미나를 진행합니다~,6,2,아무 음식도 먹지 않을 것입니다,0,0,0,0
660,여러 학과의 대학원생들이 모여 세미나를 진행합니다,6,0,아무 음식도 먹지 않습니다,0,0,0,0
662,NUMBER 가을 정기공연 연습,25,0,,0,0,0,0
663,NUMBER 가을 정기공연 연습,25,0,,0,0,0,0
665,practice,1,0,NA,0,0,0,0
666,1학기 징크 활동 피드백 및 2학기 부원들의 활동 팀 배정을 진행할 예정입니다. 세미나실을 그대로 사용할 예정이라 desk 등의 정확한 개수는 상관 없을 것 같습니다!,13,13,,10,10,0,0
667,개인 연습,1,0,,0,0,0,0
670,행사준비,10,0,,0,0,0,0
671,행사준비,10,0,,0,0,0,0
673,행사준비,10,0,,0,0,0,0
674,"징크에서 매 학기 진행하는 워크샵으로, 봄학기 프로젝트 피드백과 가을학기 프로젝트 기획 및 회의를 진행할 예정입니다.",35,0,,0,0,0,0
675,매 학기 진행하는 환경자치단체 G-inK 정기 워크샵,35,0,,0,0,0,0
676,NUMBER 가을 정기 공연 연습,25,0,,0,0,0,0
677,Practise,2,0,,0,0,0,0
679,연습,10,0,,0,0,0,0
680,개인연습,1,0,,0,0,0,0
681,[Number] 가을 정기 공연 배우 오디션 결과 회의,10,0,,0,0,0,0
687,[Number] 가을 정기공연 연습,25,0,,0,0,0,0
688,[Number] 가을 정기공연 연습,25,0,,0,0,0,0
689,[Number] 가을 정기공연 연습,25,0,,0,0,0,0
690,[Number] 가을 정기공연 연습,25,0,,0,0,0,0
691,합주 연습,10,0,,0,0,0,0
693,합주연습/ Jessica,10,0,,0,0,0,0
694,악기연습,1,0,,0,0,0,0
695,드럼 연습,1,0,,0,0,0,0
696,연습,1,0,,0,0,0,0
697,practicing,2,0,,0,1,0,0
698,동아리 연습,5,0,물,0,0,0,0
704,연습,3,0,,0,0,0,0
705,드럼 연습,1,0,,0,0,0,0
706,드럼 연습,1,0,,0,0,0,0
707,드럼 연습,1,0,,0,0,0,0
710,연습,1,0,,0,0,0,0
711,연습,0,0,,0,0,0,0
712,[NUMBER] 가을 정기공연 연습,25,0,,0,0,0,0
713,연습,10,0,,0,0,0,0
714,연습,10,0,,0,0,0,0
715,팀장회의,12,0,no,5,12,0,0
